Strain,Year,Date Collected,CT value,Count,Species,Country,State,County,Library Preparation Approach,Sequencing Approach,Sequencing Platform,Pathoplexus_Accession,NCBI_Accession,,completeness,,length
UNMC0311,2017,8/9/2017,25.73554401,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335WT.1,OZ310133.1,,0.9222957657085864,,10174
UNMC0312,2017,8/9/2017,26.70832278,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335XR.1,OZ310027.1,,0.9302747302565962,,10260
UNMC0313,2017,8/9/2017,24.17567067,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335YP.1,OZ310054.1,,0.9302747302565962,,10260
UNMC0314,2017,8/9/2017,24.37634256,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335ZM.1,OZ309981.1,,0.9302747302565962,,10260
UNMC0317,2017,9/5/2017,21.57554264,16,Culex tarsalis,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_003360K.1,OZ310186.1,,0.9065191767159307,,10174
UNMC0318,2017,9/5/2017,25.47174874,22,Culex restuans,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_003361H.1,OZ310227.1,,0.8834889835887206,,10099
UNMC0319,2017,9/5/2017,17.99205098,11,Culex tarsalis,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_003362F.1,OZ309986.1,,0.9271919484994107,,10227
UNMC0321,2018,7/31/2018,24.85459888,50,Culex pipiens,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_003363D.1,OZ310226.1,,0.9316347810318252,,10275
UNMC0322,2018,8/6/2018,27.1640889,14,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,NovaSeq,PP_003364B.1,OZ309988.1,,0.93054674,,10263
UNMC0325,2018,8/17/2018,25.20292171,50,Culex tarsalis,United States,Nebrsaka,Holt,IDT xGen WNV,Illumina,NovaSeq,PP_0033659.1,OZ309987.1,,0.9316347810318252,,10275
UNMC0326,2018,8/17/2018,24.68271391,50,Culex tarsalis,United States,Nebrsaka,Cherry,IDT xGen WNV,Illumina,NovaSeq,PP_0033667.1,OZ310132.1,,0.9304560703599601,,10262
UNMC0327,2018,8/17/2018,24.54958922,39,Culex tarsalis,United States,Nebrsaka,Dixon,IDT xGen WNV,Illumina,NovaSeq,PP_0033675.1,OZ309977.1,,0.9302747302565962,,10260
UNMC0330,2018,8/17/2018,23.81898787,23,Culex tarsalis,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_0033683.1,OZ309976.1,,0.9316347810318252,,10275
UNMC0332,2018,8/17/2018,28.28928874,45,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_0033691.1,OZ310063.1,,0.9302747302565962,,10260
UNMC0333,2018,8/17/2018,27.97683051,46,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00336AZ.1,OZ310184.1,,0.9302747302565962,,10260
UNMC0334,2018,8/27/2018,26.47675803,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00336BX.1,OZ310147.1,,0.9321788013419168,,10281
UNMC0335,2018,8/27/2018,27.22041275,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00336CV.1,OZ310076.1,,0.9304560703599601,,10262
UNMC0336,2018,8/27/2018,24.3791688,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00336DT.1,OZ310154.1,,0.9321788013419168,,10281
UNMC0340,2018,8/27/2018,25.83867809,33,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_00336ER.1,OZ310167.1,,0.9302747302565962,,10260
UNMC0341,2018,8/27/2018,26.41153467,50,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_00336FP.1,OZ309970.1,,0.9302747302565962,,10260
UNMC0347,2018,8/27/2018,27.25453999,19,Culex tarsalis,United States,Nebrsaka,Gage,IDT xGen WNV,Illumina,NovaSeq,PP_00336GM.1,OZ310209.1,,0.8349805059388884,,9997
UNMC0351,2018,8/27/2018,20.25961276,50,Culex pipiens,United States,Nebrsaka,Garfield,IDT xGen WNV,Illumina,NovaSeq,PP_00336HJ.1,OZ310036.1,,0.9321788013419168,,10281
UNMC0357,2018,9/4/2018,23.71188612,50,Culex pipiens,United States,Nebrsaka,Cherry,IDT xGen WNV,Illumina,NovaSeq,PP_00336JG.1,OZ310037.1,,0.9302747302565962,,10260
UNMC0358,2018,9/4/2018,24.66759006,50,Culex pipiens,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00336KE.1,OZ309998.1,,0.9303654003082782,,10261
UNMC0361,2018,9/4/2018,24.96895253,50,Culex tarsalis,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00336LC.1,OZ310039.1,,0.9302747302565962,,10260
UNMC0364,2018,9/4/2018,22.64181612,50,Culex tarsalis,United States,Nebrsaka,Wayne,IDT xGen WNV,Illumina,NovaSeq,PP_00336MA.1,OZ309999.1,,0.9302747302565962,,10260
UNMC0365,2018,9/4/2018,25.62092797,50,Culex tarsalis,United States,Nebrsaka,Wayne,IDT xGen WNV,Illumina,NovaSeq,PP_00336N8.1,OZ309993.1,,0.9302747302565962,,10260
UNMC0456,2023,7/24/2023,19.7481589,20,Culex tarsalis,United States,Nebrsaka,Dodge,IDT xGen WNV,Illumina,NovaSeq,PP_00336P6.1,OZ310172.1,,0.9302747302565962,,10260
UNMC0457,2023,7/24/2023,18.49231975,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00336Q4.1,OZ309962.1,,0.9335388521171457,,10296
UNMC0458,2023,7/24/2023,19.77230487,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00336R2.1,OZ310041.1,,0.9302747302565962,,10260
UNMC0467,2023,7/24/2023,20.25367891,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00336S0.1,OZ310055.1,,0.9302747302565962,,10260
UNMC0483,2023,7/24/2023,19.5181271,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00336TY.1,OZ310127.1,,0.9302747302565962,,10260
UNMC0486,2023,7/24/2023,17.72037574,4,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00336UW.1,OZ310149.1,,0.9302747302565962,,10260
UNMC0493,2023,7/24/2023,22.45060909,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00336VU.1,OZ310200.1,,0.9302747302565962,,10260
UNMC0500,2023,7/31/2023,17.46544295,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00336WS.1,OZ310229.1,,0.9302747302565962,,10260
UNMC0506,2023,7/31/2023,20.76057809,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00336XQ.1,OZ310056.1,,0.9302747302565962,,10260
UNMC0508,2023,7/31/2023,22.66650156,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00336YN.1,OZ310101.1,,0.9302747302565962,,10260
UNMC0514,2023,7/31/2023,19.50950355,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00336ZL.1,OZ310100.1,,0.9302747302565962,,10260
UNMC0521,2023,7/31/2023,21.986618,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003370J.1,OZ310166.1,,0.785383988,,9804
UNMC0523,2023,7/31/2023,18.46251476,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003371G.1,OZ310145.1,,0.9302747302565962,,10260
UNMC0525,2023,7/31/2023,18.29911784,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003372E.1,OZ310165.1,,0.9302747302565962,,10260
UNMC0528,2023,7/31/2023,20.19177169,4,Culex tarsalis,United States,Nebrsaka,Cuming,IDT xGen WNV,Illumina,NovaSeq,PP_003373C.1,OZ309982.1,,0.9323601414452807,,10286
UNMC0531,2023,8/7/2023,19.93120533,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_003374A.1,OZ310066.1,,0.9302747302565962,,10260
UNMC0533,2023,8/7/2023,25.17970383,17,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_0033758.1,OZ310091.1,,0.9321788013419168,,10281
UNMC0535,2023,8/8/2023,,,Culex,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_0033766.1,OZ310129.1,,0.9302747302565962,,10260
UNMC0538,2023,8/7/2023,23.28158938,50,Culex,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_0033774.1,OZ310045.1,,0.9302747302565962,,10260
UNMC0539,2023,8/8/2023,,,Culex,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_0033782.1,OZ310150.1,,0.9321788013419168,,10281
UNMC0543,2023,8/7/2023,21.21306127,50,Culex,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_0033790.1,OZ310223.1,,0.9302747302565962,,10260
UNMC0545,2023,8/7/2023,26.57071062,50,Culex,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337AY.1,OZ310188.1,,0.9302747302565962,,10260
UNMC0548,2023,8/7/2023,17.49056989,50,Culex,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337BW.1,OZ310024.1,,0.9302747302565962,,10260
UNMC0551,2023,8/11/2023,22.75810845,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00337CU.1,OZ309971.1,,0.9302747302565962,,10260
UNMC0552,2023,8/11/2023,19.87985833,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00337DS.1,OZ310059.1,,0.9320881312902348,,10281
UNMC0553,2023,8/11/2023,26.96083143,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00337EQ.1,OZ310118.1,,0.9180342732795358,,10215
UNMC0554,2023,8/11/2023,24.95951575,7,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00337FN.1,OZ310057.1,,0.9302747302565962,,10260
UNMC0555,2023,8/11/2023,15.27091206,4,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00337GL.1,OZ310011.1,,0.9148608214706683,,10174
UNMC0556,2023,8/11/2023,18.39657494,17,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00337HH.1,OZ310114.1,,0.9282799891195938,,10260
UNMC0557,2023,8/11/2023,18.15532672,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337JF.1,OZ310092.1,,0.9303654003082782,,10261
UNMC0558,2023,8/11/2023,19.55747286,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337KD.1,OZ309967.1,,0.9302747302565962,,10260
UNMC0560,2023,8/11/2023,24.38221351,42,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337LB.1,OZ310021.1,,0.9302747302565962,,10260
UNMC0567,2023,8/11/2023,22.77599888,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337M9.1,OZ310087.1,,0.9302747302565962,,10260
UNMC0575,2023,8/11/2023,18.60025682,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337N7.1,OZ310163.1,,0.9302747302565962,,10260
UNMC0576,2023,8/11/2023,17.2453756,33,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337P5.1,OZ310086.1,,0.9302747302565962,,10260
UNMC0578,2023,8/11/2023,32.30395133,11,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Platte,IDT xGen WNV,Illumina,NovaSeq,PP_00337Q3.1,OZ310175.1,,0.8287242723728353,,9210
UNMC0582,2023,8/21/2023,27.85825248,47,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00337R1.1,OZ310125.1,,0.9261945779309094,,10260
UNMC0583,2023,8/21/2023,25.81888904,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00337SZ.1,OZ310074.1,,0.9301840602049143,,10260
UNMC0584,2023,8/21/2023,18.75881852,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00337TX.1,OZ310203.1,,0.9302747302565962,,10260
UNMC0586,2023,8/21/2023,18.90147797,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00337UV.1,OZ310079.1,,0.9302747302565962,,10260
UNMC0587,2023,8/21/2023,16.34624522,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00337VT.1,OZ309997.1,,0.9302747302565962,,10260
UNMC0588,2023,8/21/2023,17.59342952,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00337WR.1,OZ309972.1,,0.9302747302565962,,10260
UNMC0589,2023,8/21/2023,18.61099723,46,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00337XP.1,OZ310152.1,,0.9302747302565962,,10260
UNMC0590,2023,8/21/2023,18.45654699,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337YM.1,OZ310033.1,,0.9302747302565962,,10260
UNMC0591,2023,8/21/2023,20.28273695,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00337ZK.1,OZ310073.1,,0.9318161211351891,,10277
UNMC0601,2023,8/21/2023,18.53441079,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_003380H.1,OZ310009.1,,0.9302747302565962,,10260
UNMC0616,2023,8/21/2023,14.7764781,10,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,NovaSeq,PP_003381F.1,OZ310193.1,,0.9302747302565962,,10260
UNMC0617,2020,8/17/2020,17.7,4,Culex pipiens,United States,Nebrsaka,Dodge,IDT xGen WNV,Illumina,NovaSeq,PP_003382D.1,OZ310048.1,,0.9303654003082782,,10261
UNMC0618,2020,8/21/2020,28.6,43,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_003383B.1,OZ310020.1,,0.7962643938707045,,10083
UNMC0619,2020,8/21/2020,21.3,48,Culex tarsalis,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_0033849.1,OZ310093.1,,0.9318161211351891,,10277
UNMC0620,2020,8/21/2020,21.4,29,Culex pipiens,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033857.1,OZ309973.1,,0.9303654003082782,,10261
UNMC0621,2020,8/28/2020,17 .7,50,Culex pipiens,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_0033865.1,OZ310070.1,,0.9321788013419168,,10281
UNMC0622,2020,9/4/2020,17.7,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_0033873.1,OZ309975.1,,0.9304560703599601,,10262
UNMC0623,2020,9/4/2020,23.8,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033881.1,OZ310013.1,,0.9302747302565962,,10260
UNMC0624,2020,9/4/2020,20.2,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_003389Z.1,OZ310102.1,,0.9302747302565962,,10260
UNMC0625,2020,9/4/2020,23.5,50,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00338AX.1,OZ309961.1,,0.9302747302565962,,10260
UNMC0626,2020,9/4/2020,17.9,50,Culex tarsalis,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_00338BV.1,OZ310028.1,,0.9302747302565962,,10260
UNMC0627,2020,9/4/2020,19.4,20,Culex pipiens,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_00338CT.1,OZ310083.1,,0.9304560703599601,,10262
UNMC0628,2020,9/4/2020,20.9,26,Culex tarsalis,United States,Nebrsaka,Platte,IDT xGen WNV,Illumina,NovaSeq,PP_00338DR.1,OZ309974.1,,0.9302747302565962,,10260
UNMC0629,2020,9/4/2020,17.1,1,Culex tarsalis,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_00338EP.1,OZ310119.1,,0.9304560703599601,,10262
UNMC0630,2020,9/4/2020,17.6,7,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_00338FM.1,OZ309990.1,,0.9302747302565962,,10260
UNMC0631,2020,9/18/2020,14.1,4,Culex tarsalis,United States,Nebrsaka,Phelps,IDT xGen WNV,Illumina,NovaSeq,PP_00338GK.1,OZ310120.1,,0.9303654003082782,,10261
UNMC0632,2020,9/18/2020,18.8,6,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00338HG.1,OZ310025.1,,0.9318161211351891,,10277
UNMC0633,2020,9/18/2020,21.2,12,Culex tarsalis,United States,Nebrsaka,Garfield,IDT xGen WNV,Illumina,NovaSeq,PP_00338JE.1,OZ310050.1,,0.9303654003082782,,10261
UNMC0634,2020,9/18/2020,18.5,18,Culex pipiens,United States,Nebrsaka,Garfield,IDT xGen WNV,Illumina,NovaSeq,PP_00338KC.1,OZ310130.1,,0.9302747302565962,,10260
UNMC0635,2020,9/25/2020,17,2,Culex pipiens,United States,Nebrsaka,Sarpy,IDT xGen WNV,Illumina,NovaSeq,PP_00338LA.1,OZ309964.1,,0.9302747302565962,,10260
UNMC0636,2020,9/25/2020,14.7,1,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00338M8.1,OZ310195.1,,0.9303654003082782,,10261
UNMC0676,2023,7/5/2023,20.7,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00338N6.1,OZ310213.1,,0.9302747302565962,,10260
UNMC0678,2023,7/10/2023,23.5,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00338P4.1,OZ310112.1,,0.9321788013419168,,10281
UNMC0679,2023,7/17/2023,23.5,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00338Q2.1,OZ310176.1,,0.9224771058119503,,10174
UNMC0680,2023,7/17/2023,18.4,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00338R0.1,OZ310115.1,,0.9302747302565962,,10260
UNMC0683,2023,7/17/2023,23.6,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00338SY.1,OZ310034.1,,0.9302747302565962,,10260
UNMC0684,2023,7/17/2023,28.4,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00338TW.1,OZ310069.1,,0.8947320699972799,,10174
UNMC0685,2023,7/17/2023,18.1,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00338UU.1,OZ310047.1,,0.9302747302565962,,10260
UNMC0686,2023,7/17/2023,23.3,10,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00338VS.1,OZ310105.1,,0.9302747302565962,,10260
UNMC0687,2023,7/17/2023,28.2,47,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00338WQ.1,OZ310196.1,,0.9197570042614924,,10174
UNMC0688,2023,7/17/2023,19.2,49,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00338XN.1,OZ310094.1,,0.9302747302565962,,10260
UNMC0690,2023,8/17/2023,15.6,33,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,NovaSeq,PP_00338YL.1,OZ310032.1,,0.9302747302565962,,10260
UNMC0691,2023,8/17/2023,16.7,36,Culex tarsalis,United States,Nebrsaka,Holt,IDT xGen WNV,Illumina,NovaSeq,PP_00338ZJ.1,OZ310051.1,,0.9302747302565962,,10260
UNMC0692,2023,8/22/2023,22,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003390G.1,OZ310197.1,,0.9302747302565962,,10260
UNMC0693,2023,8/22/2023,20.6,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003391E.1,OZ309978.1,,0.9302747302565962,,10260
UNMC0694,2023,8/22/2023,19.7,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003392C.1,OZ309979.1,,0.9302747302565962,,10260
UNMC0695,2023,8/22/2023,23.8,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_003393A.1,OZ310192.1,,0.9302747302565962,,10260
UNMC0696,2023,8/22/2023,21.1,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033948.1,OZ310016.1,,0.9302747302565962,,10260
UNMC0697,2023,8/22/2023,21.8,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033956.1,OZ310062.1,,0.8785928007978965,,10099
UNMC0698,2023,8/22/2023,19.3,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033964.1,OZ309980.1,,0.9302747302565962,,10260
UNMC0699,2023,8/22/2023,18.7,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033972.1,OZ310136.1,,0.9302747302565962,,10260
UNMC0700,2023,8/22/2023,17.9,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033980.1,OZ310168.1,,0.9303654003082782,,10261
UNMC0701,2023,8/22/2023,22.7,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_003399Y.1,OZ310206.1,,0.9217517453984949,,10260
UNMC0702,2023,8/22/2023,23.5,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00339AW.1,OZ310207.1,,0.9302747302565962,,10260
UNMC0703,2023,8/22/2023,15.9,30,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00339BU.1,OZ310146.1,,0.9302747302565962,,10260
UNMC0704,2023,8/22/2023,19,9,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00339CS.1,OZ310140.1,,0.9302747302565962,,10260
UNMC0705,2023,8/22/2023,22.8,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00339DQ.1,OZ310046.1,,0.9303654003082782,,10261
UNMC0706,2023,8/23/2023,19.3,43,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00339EN.1,OZ310144.1,,0.9302747302565962,,10260
UNMC0707,2023,8/23/2023,20.5,27,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00339FL.1,OZ310156.1,,0.9302747302565962,,10260
UNMC0708,2023,8/23/2023,18,37,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00339GJ.1,OZ310085.1,,0.9302747302565962,,10260
UNMC0709,2023,8/29/2023,19.8,42,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00339HF.1,OZ310053.1,,0.9304560703599601,,10262
UNMC0711,2023,8/29/2023,16.9,36,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,NovaSeq,PP_00339JD.1,OZ310181.1,,0.9302747302565962,,10260
UNMC0712,2023,8/29/2023,19.7,50,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00339KB.1,OZ310123.1,,0.9302747302565962,,10260
UNMC0713,2023,8/30/2023,17.7,18,Culex tarsalis,United States,Nebrsaka,Saline,IDT xGen WNV,Illumina,NovaSeq,PP_00339L9.1,OZ310042.1,,0.9302747302565962,,10260
UNMC0714,2023,8/30/2023,16.6,39,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Holt,IDT xGen WNV,Illumina,NovaSeq,PP_00339M7.1,OZ309968.1,,0.9302747302565962,,10260
UNMC0716,2023,8/30/2023,14.2,5,Culex tarsalis,United States,Nebrsaka,Holt,IDT xGen WNV,Illumina,NovaSeq,PP_00339N5.1,OZ310075.1,,0.9302747302565962,,10260
UNMC0717,2023,8/31/2023,17.1,28,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,NovaSeq,PP_00339P3.1,OZ310117.1,,0.9302747302565962,,10260
UNMC0718,2023,9/6/2023,28.3,22,Culex pipiens/restuans/salinarius,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00339Q1.1,OZ310081.1,,0.8288149424245171,,9769
UNMC0719,2023,9/6/2023,19.9,10,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_00339RZ.1,OZ309963.1,,0.9302747302565962,,10260
